Sl. No.,contact_name,inserted_at,pothole_duration_months,pothole_landmark_image,pothole_image,pothole_latlong,pothole_roadname,Ward,Zone
,,,,,,"12.9198075999999,77.5901380999999","Metro Pillar #49, Opposite H Colony,100 ft road, Indiranagar",168,South
,,,,,,"12.9564671999999,77.594624","BEML Layout 6th stage , Thubarahalli Ward : Mahadevapura",117,East
,,,,,,"12.9564671999999,77.594624","St. Peter's Seminary, 8th Main Road, Malleswaram",117,East
,,,,,,"12.9564671999999,77.594624",Owners court,117,East
,,,,,,"12.9564671999999,77.594624",Spring Bloom Apartment,117,East
,,,,,,"12.9198075999999,77.5901380999999",Magadi NICE ROAD Junction to KADABGERE CROSS,168,South
,,,,,,"12.9545815,77.5904171",Choodasandra Circle,145,South
,,,,,,"12.9198075999999,77.5901380999999",Owners court layout east and west Kasavanhalli mn road Bangalore 560035 Landmark: beside Amrutha college,168,South
,,,,,,"12.9564671999999,77.594624","Banjara Residency, Hennur",117,East
,,,,,,"12.9564671999999,77.594624",Karnataka Golf Association,117,East
,,,,,,"12.9564671999999,77.594624","1st cross, 9th Main, BEML, RR Nagar",117,East
,,,,,,"12.954609,77.5904628999999","RWA, Koramangala, 4th block, Bangalore-560034.",145,South
,,,,,,"12.9546421,77.5904635","CSB layout, Kasavanahalli",145,South
,,,,,,"12.9546421,77.5904635",Shubh Enclave,145,South
,,,,,,"12.954609,77.5904628999999","CMRS ROYAL ORCHID APARTMENT, BALAGERE ROAD, WARD 149, VARTHUR, BENGALURU - 87",145,South
,,,,,,"12.954609,77.5904628999999",Belandur flyover to Devarabeesanahalli flyover towards Passport office,145,South
,,,,,,"12.9546421,77.5904635",ARK serene county road,145,South
,,,,,,"12.9546421,77.5904635","Mudaliyar Layout, Kasavanahalli",145,South
,,,,,,"12.954609,77.5904628999999","KAVERAPPA LAYOUT, PANATHUR, 560103",145,South
,,,,,,"12.9546421,77.5904635","KPCL Layout, Kasavanahalli",145,South
